Career,Citizenship,Nationality,Year_of_Study,Gender,Department,Housing_Type,Events_Volunteered,Events_Participated,Activities_Interested,Activities_Passionate,Stress_Level,Student_Life_Satisfaction,Effort_For_Interaction,Response_ID,Societies_Participation,Clubs_Participation,Academic_Stress,Financial_Stress,Family_Stress,Friend_Stress
UGRD,Permanent Resident,Indonesia,3,F,School of Engineering,Residences,3,3,2,5,4,2,3,31,Yes,Yes,Yes,Yes,No,No
UGRD,Foreigner,Malaysia,3,M,School of Science,Halls,3,0,2,3,4,2,2,32,No,No,Yes,Yes,No,No
UGRD,Foreigner,Malaysia,4,F,School of Science,Halls,0,2,3,2,6,1,2,33,Yes,Yes,Yes,Yes,No,Yes
UGRD,Foreigner,Malaysia,4,M,School of Science,Halls,1,3,4,1,2,3,2,34,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Medicine1,Out of Campus,2,1,1,3,2,2,2,35,No,No,No,No,No,No
GRAD,Foreigner,India,1,M,School of Systems Science,Out of Campus,1,4,6,4,2,3,3,36,Yes,Yes,Yes,No,No,No
UGRD,Foreigner,Malaysia,2,M,School of Science,Out of Campus,2,2,7,3,2,2,2,37,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,4,F,School of Arts & Social Science,Residential Colleges,2,1,3,5,4,3,2,38,Yes,No,Yes,Yes,Yes,No
GRAD,Foreigner,Malaysia,2,F,School of Public Policy,Out of Campus,1,2,3,3,2,3,3,39,Yes,No,No,Yes,Yes,No
UGRD,Country Citizen,Singapore,3,F,School of Engineering,Residential Colleges,1,1,1,1,1,2,2,40,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,3,1,2,4,3,2,2,41,No,Yes,Yes,Yes,No,No
UGRD,Foreigner,Malaysia,3,F,School of Conservatory of Music,Halls,0,0,1,2,1,2,2,42,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,2,1,3,5,7,2,2,43,No,No,Yes,Yes,Yes,Yes
UGRD,Permanent Resident,Malaysia,4,F,School of Arts & Social Science,Out of Campus,2,1,2,2,2,2,2,44,Yes,No,Yes,No,No,No
UGRD,Foreigner,Indonesia,1,M,School of Engineering,Halls,1,1,1,2,2,2,3,45,No,Yes,Yes,Yes,No,No
GRAD,Foreigner,India,2,M,School of Systems Science,Out of Campus,4,2,2,5,1,3,3,46,Yes,No,No,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Business School,Halls,6,3,3,4,1,2,3,47,No,Yes,No,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Science,Out of Campus,6,3,3,5,2,2,2,48,Yes,Yes,No,No,No,Yes
UGRD,Country Citizen,Singapore,4,F,School of Design & Environment,Out of Campus,4,3,4,4,7,2,2,49,No,No,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,1,F,School of Engineering,Out of Campus,0,1,3,4,2,2,2,50,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Engineering,Out of Campus,1,0,4,5,2,2,3,51,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Business School,Out of Campus,2,3,3,2,1,2,2,52,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,M,School of Science,Halls,3,1,3,2,3,1,0,53,Yes,No,Yes,No,Yes,No
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Out of Campus,2,1,2,3,6,1,1,54,No,Yes,Yes,No,Yes,Yes
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,3,1,4,2,1,2,2,55,No,Yes,No,No,Yes,No
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Out of Campus,5,2,4,7,7,2,2,56,No,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,2,F,School of Engineering,Out of Campus,0,1,3,2,3,1,2,57,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,2,0,3,10,2,2,2,58,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Engineering,Halls,4,4,3,2,3,2,2,59,Yes,Yes,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Residences,2,3,4,4,4,2,2,60,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Engineering,Out of Campus,1,0,2,2,2,1,2,61,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,2,2,4,6,3,2,2,62,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Science,Out of Campus,1,1,2,2,5,0,2,63,No,No,Yes,No,Yes,No
UGRD,Country Citizen,Singapore,1,M,School of Business School,Out of Campus,2,2,2,2,2,3,2,64,No,Yes,No,No,Yes,No
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Out of Campus,1,2,2,2,1,3,3,65,No,Yes,No,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,1,2,4,10,5,2,2,66,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,2,1,1,3,3,2,2,67,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Science,Out of Campus,2,3,4,2,4,1,2,68,Yes,No,Yes,No,Yes,No
UGRD,Country Citizen,Singapore,1,F,School of Law,Out of Campus,0,0,4,5,1,2,2,69,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Foreign College,Out of Campus,0,1,5,7,7,2,2,70,No,Yes,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,2,F,School of Science,Out of Campus,2,1,3,3,4,0,2,71,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Science,Out of Campus,0,3,3,2,2,2,2,72,Yes,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Law,Out of Campus,2,1,2,4,1,2,2,73,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,6,1,1,4,4,2,2,74,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,M,School of Computing,Out of Campus,0,2,3,2,3,2,2,75,Yes,No,No,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Computing,Halls,0,3,4,1,8,2,2,76,No,Yes,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Out of Campus,0,0,4,1,1,1,1,77,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Halls,0,3,3,5,3,2,2,78,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Arts & Social Science,Residential Colleges,6,2,5,5,6,1,2,79,No,Yes,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,2,F,School of Medicine1,Out of Campus,4,0,3,10,1,2,2,80,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Medicine1,Out of Campus,2,0,2,4,3,3,2,81,No,No,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,2,F,School of Science,Out of Campus,2,1,2,8,4,2,2,82,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Science,Out of Campus,0,2,3,6,3,2,2,83,No,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Halls,0,1,2,1,5,1,0,84,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,2,2,3,2,2,2,2,85,No,No,No,No,No,Yes
UGRD,Country Citizen,Singapore,1,M,School of Design & Environment,Out of Campus,0,0,4,1,3,2,2,86,No,No,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Out of Campus,0,1,4,3,5,0,1,87,No,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,4,M,School of Engineering,Out of Campus,0,1,3,2,3,2,1,88,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Law,Out of Campus,1,1,3,2,1,2,2,89,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,2,2,3,5,3,2,2,90,No,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Residential Colleges,2,3,4,5,5,2,3,91,Yes,No,Yes,Yes,Yes,No
UGRD,Permanent Resident,Philippines,1,M,School of Computing,Out of Campus,0,1,3,1,4,2,2,92,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Engineering,Halls,4,2,3,4,5,1,3,93,No,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,2,0,2,4,3,1,1,94,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Business School,Out of Campus,0,0,2,2,4,1,2,95,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Business School,Residential Colleges,3,2,4,3,4,3,3,96,Yes,No,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,4,F,School of Arts & Social Science,Out of Campus,2,1,2,1,3,2,1,97,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Engineering,Out of Campus,0,0,3,2,1,2,3,98,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Engineering,Out of Campus,0,1,3,4,4,2,1,99,No,Yes,Yes,No,No,No
UGRD,Permanent Resident,Myanmar,3,F,School of Arts & Social Science,Out of Campus,0,1,1,1,5,2,2,100,No,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,M,School of Computing,Out of Campus,0,1,3,6,3,2,2,101,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,4,M,School of Design & Environment,Out of Campus,0,1,3,3,3,2,2,102,No,Yes,Yes,No,Yes,No
GRAD,Foreigner,Canada,1,M,School of Public Policy,Halls,1,2,4,3,3,2,2,103,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,0,3,1,2,3,1,1,104,Yes,Yes,Yes,No,No,No
NGRD,Foreigner,United States,1,F,School of Exchange Students,Halls,0,3,4,9,3,3,3,105,Yes,No,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,1,F,School of Medicine1,Halls,1,2,3,1,1,2,2,106,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Law,Out of Campus,3,2,2,4,3,1,3,107,No,Yes,Yes,Yes,No,No
UGRD,Permanent Resident,India,1,F,School of Business School,Out of Campus,0,2,2,2,4,2,2,108,Yes,Yes,Yes,No,No,No
UGRD,Foreigner,United States,1,F,School of Conservatory of Music,Halls,2,2,5,10,3,2,3,109,Yes,No,Yes,Yes,No,No
UGRD,Foreigner,Malaysia,2,F,School of Arts & Social Science,Out of Campus,0,2,3,5,1,2,2,110,Yes,No,No,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Residential Colleges,1,2,3,2,5,2,2,111,Yes,No,Yes,No,No,Yes
NGRD,Foreigner,Poland,1,M,School of Exchange Students,Residential Colleges,0,1,2,2,2,2,2,112,Yes,No,No,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Design & Environment,Out of Campus,0,3,2,1,1,1,2,113,Yes,No,Yes,No,No,No
UGRD,Foreigner,China,4,F,School of Computing,Halls,0,1,1,1,1,1,2,114,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Halls,2,3,5,3,4,2,2,115,Yes,Yes,Yes,No,Yes,No
UGRD,Country Citizen,Singapore,3,M,School of Design & Environment,Halls,0,3,2,2,2,2,3,116,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Arts & Social Science,Out of Campus,0,2,2,2,4,2,2,117,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,5,M,School of Computing,Out of Campus,4,4,3,3,4,3,3,118,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Arts & Social Science,Residential Colleges,2,2,4,5,5,1,2,119,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,M,School of Business School,Halls,2,3,2,2,4,3,2,120,Yes,Yes,No,No,No,Yes
UGRD,Country Citizen,Singapore,4,M,School of Science,Out of Campus,2,3,3,2,1,1,2,121,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Halls,5,3,3,2,2,2,2,122,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Out of Campus,0,2,2,3,2,3,2,123,Yes,No,No,No,No,Yes
UGRD,Country Citizen,Singapore,4,M,School of Engineering,Halls,0,1,2,6,4,2,1,124,No,No,Yes,No,Yes,No
UGRD,Country Citizen,Singapore,3,M,School of Engineering,Out of Campus,2,2,1,2,1,1,2,125,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Halls,2,3,3,4,1,2,2,126,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Engineering,Out of Campus,2,2,2,10,5,2,2,127,No,Yes,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,4,M,School of Engineering,Out of Campus,0,3,2,3,3,2,2,128,Yes,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,4,M,School of Engineering,Out of Campus,0,2,2,1,1,1,2,129,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Design & Environment,Out of Campus,0,0,2,2,3,2,2,130,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,4,M,School of Engineering,Out of Campus,6,1,2,8,4,3,2,131,Yes,No,Yes,No,Yes,Yes
UGRD,Country Citizen,Singapore,3,M,School of Science,Out of Campus,1,3,6,2,4,2,2,132,Yes,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,M,School of Science,Out of Campus,3,0,1,2,2,2,2,133,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Science,Out of Campus,0,2,1,3,4,2,2,134,No,Yes,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Out of Campus,4,1,4,7,6,2,2,135,Yes,No,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,1,M,School of Science,Out of Campus,0,0,4,6,5,2,2,136,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,M,School of Arts & Social Science,Out of Campus,0,2,3,4,2,1,2,137,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Out of Campus,0,1,3,3,2,2,2,138,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Science,Out of Campus,0,1,2,5,3,2,1,139,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Multi Disciplinary Programme,Out of Campus,0,1,4,3,3,1,2,140,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,1,1,1,3,2,1,2,141,No,No,No,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Law,Out of Campus,1,1,3,5,1,2,1,142,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Business School,Halls,0,1,1,3,6,1,2,143,No,No,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,4,F,School of Arts & Social Science,Out of Campus,1,1,2,2,3,2,1,144,Yes,No,Yes,No,Yes,No
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,3,3,2,8,3,2,3,145,Yes,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,2,F,School of Engineering,Out of Campus,4,2,5,3,4,1,2,146,Yes,No,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,0,2,2,2,3,2,1,147,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,0,1,3,5,6,2,2,148,Yes,No,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,2,F,School of Foreign College,Out of Campus,4,2,7,6,5,2,2,149,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,2,2,3,3,7,1,2,150,Yes,No,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,2,F,School of Science,Out of Campus,3,3,7,8,3,2,3,151,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,2,1,2,2,2,1,1,152,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Halls,3,3,4,3,6,2,3,153,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,1,1,2,2,3,2,1,154,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,2,2,3,4,3,2,2,155,Yes,No,Yes,No,Yes,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,1,1,4,3,1,3,3,156,Yes,No,No,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,1,1,4,7,4,1,2,157,Yes,No,Yes,Yes,No,No
NGRD,Foreigner,United States,1,M,School of Exchange Students,Residences,0,1,2,2,2,2,2,158,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Science,Out of Campus,2,2,3,5,3,2,2,159,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Engineering,Out of Campus,0,1,1,1,2,2,2,160,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,0,2,4,6,3,2,2,161,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Design & Environment,Out of Campus,0,1,3,4,3,2,3,162,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Science,Out of Campus,0,1,2,3,2,2,2,163,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Science,Out of Campus,3,0,1,2,2,2,2,164,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Business School,Out of Campus,1,1,3,9,2,2,2,165,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Out of Campus,0,1,5,0,3,2,3,166,No,No,Yes,No,No,Yes
NGRD,Foreigner,Mexico,1,M,School of Exchange Students,Residential Colleges,0,2,5,4,3,3,3,167,Yes,No,Yes,No,No,No
NGRD,Foreigner,Australia,1,F,School of Exchange Students,Out of Campus,0,1,3,4,1,3,2,168,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Science,Out of Campus,5,1,4,5,5,2,2,169,Yes,No,Yes,No,Yes,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,1,2,3,5,3,3,2,170,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,0,1,2,5,4,2,2,171,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,2,1,1,2,2,2,2,172,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Arts & Social Science,Out of Campus,0,2,4,5,4,2,3,173,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,0,2,3,5,3,0,3,174,Yes,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,1,2,1,4,2,2,2,175,Yes,Yes,No,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Medicine1,Out of Campus,3,1,1,2,4,2,2,176,Yes,No,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,2,2,4,3,5,2,2,177,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Medicine1,Out of Campus,2,2,3,5,2,2,2,178,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Law,Out of Campus,1,0,1,1,1,2,2,179,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Business School,Out of Campus,1,1,3,3,3,2,2,180,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Science,Out of Campus,0,1,2,2,1,2,3,181,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Residential Colleges,1,2,3,5,4,2,3,182,Yes,No,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Residential Colleges,2,3,3,6,6,2,1,183,No,Yes,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,2,1,3,4,2,2,2,184,Yes,No,No,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Residential Colleges,0,4,2,2,4,2,2,185,Yes,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Medicine1,Residences,2,0,2,5,3,2,2,186,No,No,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,4,F,School of Design & Environment,Out of Campus,1,2,3,3,4,2,2,187,Yes,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Science,Out of Campus,1,0,3,5,4,1,2,188,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,0,1,1,6,3,2,2,189,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Science,Out of Campus,4,2,3,5,3,2,3,190,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,5,M,School of Law,Out of Campus,0,0,2,1,2,2,3,191,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Halls,1,1,3,1,1,2,2,192,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,0,1,1,3,2,2,3,193,Yes,No,Yes,No,No,No
UGRD,Permanent Resident,China,1,F,School of Computing,Residential Colleges,1,1,1,1,3,0,0,194,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Engineering,Out of Campus,0,1,2,1,1,2,2,195,No,No,No,Yes,No,No
GRAD,Foreigner,China,3,M,School of Science,Out of Campus,0,0,1,1,2,1,2,196,No,No,Yes,No,No,No
GRAD,Foreigner,China,1,M,School of Engineering,Out of Campus,0,1,3,3,5,2,2,197,No,No,Yes,No,No,Yes
UGRD,Permanent Resident,China,1,F,School of Computing,Residential Colleges,1,1,1,1,1,3,2,198,No,No,No,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Science,Residential Colleges,0,3,3,6,5,3,2,199,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Engineering,Residential Colleges,2,1,1,1,2,2,2,200,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Business School,Out of Campus,1,1,1,1,3,1,2,201,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Out of Campus,0,2,5,4,5,1,2,202,No,Yes,Yes,Yes,No,Yes
